Country,Area,Municipio,x,y
Guatemala,Chimaltenango,San José Poaquil,-90.95,14.71667
Guatemala,Huehuetenango,San Juan Atitlán,-91.56141395,15.65060596
Guatemala,Alta Verapaz,San Juan Chamelco,-89.81667,15.38333
Guatemala,Chimaltenango,San Juan Comalapa,-90.92212206,14.6965749
Guatemala,Quiché,San Juan Cotzal,-90.94953373,15.45303782
Guatemala,Chiquimula,San Juan Ermita,-89.42550799,14.68875757
Guatemala,Huehuetenango,San Juan Ixcoy,-91.56141395,15.65060596
Guatemala,Quetzaltenango,San Juan Ostuncalco,-91.61667,14.86667
Guatemala,Guatemala,San Juan Sacatepéquez,-90.53216351,14.62192206
Guatemala,Petén,San Luis,-90.02071868,16.97973195
Guatemala,Jalapa,San Luis Jilotepeque,-89.73333,14.65
Guatemala,Jalapa,San Manuel Chaparrón,-90.40890655,14.68218611
Guatemala,Chimaltenango,San Martín Jilotepeque,-90.92212206,14.6965749
Guatemala,Quetzaltenango,San Martín Sacatepéquez,-91.71338713,14.7880793
Guatemala,Quetzaltenango,San Mateo,-91.58333,14.86667
Guatemala,Huehuetenango,San Mateo Ixtatán,-91.56141395,15.65060596
Guatemala,Huehuetenango,San Miguel Acatán,-91.56141395,15.65060596
Guatemala,Baja Verapaz,San Miguel Chicaj,-90.38505493,15.11763409
Guatemala,Guatemala,San Miguel Petapa,-90.55464044,14.53432412
Guatemala,Quetzaltenango,San Miguel Siguilá,-91.61667,14.9
Guatemala,Guatemala,San Pedro Ayampuc,-90.5453329,14.44849953
Guatemala,Alta Verapaz,San Pedro Carchá,-90.10134012,15.64019212
Guatemala,Quiché,San Pedro Jocopilas,-90.94953373,15.45303782
Guatemala,Huehuetenango,San Pedro Nécta,-91.56141395,15.65060596
Guatemala,Jalapa,San Pedro Pinula,-89.94599608,14.621231
Guatemala,Guatemala,San Pedro Sacatepéquez,-90.5453329,14.44849953
Guatemala,Huehuetenango,San Pedro Soloma,-91.56141395,15.65060596
Guatemala,Huehuetenango,San Rafael la Independencia,-91.53333,15.71667
Guatemala,Huehuetenango,San Rafael Pétzal,-91.66451,15.40487
Guatemala,Guatemala,San Raymundo,-90.4905404,14.62343636
Guatemala,Retalhuleu,San Sebastián ,-91.85454827,14.37632
Guatemala,Huehuetenango,San Sebastián Huehuetenango,-91.58333,15.38333
Guatemala,Escuintla,San Vicente Pacaya,-90.63345814,14.41385173
Guatemala,El Progreso,Sanarate,-90.08239394,14.90855374
Guatemala,El Progreso,Sansare,-90.08239394,14.90855374
Guatemala,Petén,Santa Ana,-90.02071868,16.97973195
Guatemala,Huehuetenango,Santa Ana Huista,-91.56141395,15.65060596
Guatemala,Chimaltenango,Santa Apolonia,-90.92212206,14.6965749
Guatemala,Huehuetenango,Santa Bárbara,-91.56141395,15.65060596
Guatemala,Jutiapa,Santa Catarina Mita,-90.581461,14.32533631
